study_hours,session_duration,breaks_taken,subject_difficulty,time_of_day,productivity_score,session_completed,efficiency,study_intensity,difficulty_code,difficulty_burden,productive_pace
3.442320708308328,88.5353043620871,4.0,medium,night,99.19461292789074,1,28.816203176094625,17.707060872417422,2,177.0706087241742,1.1203961362374693
3.387006193351098,46.16207911586026,5.0,medium,morning,77.80232136737972,0,22.970823472395907,7.693679852643377,2,92.32415823172052,1.685416316975389
2.410412731389591,83.98750600918002,2.0,hard,night,99.56565747111112,1,41.30647675998293,27.99583533639334,3,251.96251802754006,1.1854817722558444
3.573797527453146,42.54635406623111,3.0,easy,morning,83.87633841227422,0,23.469807052009575,10.636588516557778,1,42.54635406623111,1.9714107178656366
4.428213798940367,82.46222709937314,2.0,easy,afternoon,100.0,1,22.58246881032012,27.48740903312438,1,82.46222709937314,1.2126764400807721
2.8035356739686152,67.32166414262026,3.0,medium,morning,85.47886874376485,1,30.489666865113612,16.830416035655066,2,134.64332828524053,1.2697081962008356
2.85165164999065,32.24966281540211,5.0,medium,afternoon,51.660231189873265,0,18.11589826900584,5.374943802567018,2,64.49932563080422,1.6018843820345576
4.508855949510071,40.99532366341143,0.0,hard,morning,100.0,1,22.178575035395824,40.99532366341143,3,122.9859709902343,2.4393026097571853
3.633291693236839,66.92188416145672,3.0,hard,evening,100.0,1,27.523251212156783,16.73047104036418,3,200.76565248437015,1.4942795059197458
2.4044769735509877,73.65720119190661,4.0,medium,afternoon,82.28740890957603,1,34.222581382450116,14.731440238381321,2,147.31440238381322,1.1171671958480238
3.294314008989182,58.63321961356228,5.0,easy,morning,86.65052010646112,0,26.303054253485907,9.772203268927047,1,58.63321961356228,1.4778400483131278
2.1807104810053084,42.15024534374336,2.0,easy,afternoon,64.26867515677745,0,29.47143865110859,14.050081781247785,1,42.15024534374336,1.5247521012666485
2.0279393458065873,69.8819568993852,4.0,medium,morning,71.96466919427561,0,35.48659842469429,13.97639137987704,2,139.7639137987704,1.0298032909680688
2.312910226126594,79.38199393331003,6.0,easy,morning,78.39612533945076,1,33.895014364971665,11.340284847615719,1,79.38199393331003,0.9875807025622523
4.0129340390302985,69.42400698771934,0.0,medium,morning,100.0,1,24.919422803212683,69.42400698771934,2,138.84801397543868,1.4404239158608254
1.4035046177398574,45.836251634691834,3.0,hard,evening,56.664324381203,0,40.373450621382894,11.459062908672959,3,137.5087549040755,1.2362338184371906
2.85165164999065,58.650880463350994,0.0,medium,night,100.0,1,35.06739681907777,58.650880463350994,2,117.30176092670199,1.7050042422208258
2.4071392186437435,48.12959500024334,2.0,medium,evening,70.97820418482766,0,29.48653889026783,16.04319833341445,2,96.25919000048668,1.4747309671828486
0.7701426118330308,49.09817851885869,2.0,hard,evening,58.38143169999355,0,75.8060011262574,16.36605950628623,3,147.29453555657608,1.189075307092485
2.85165164999065,43.47584897272337,5.0,medium,afternoon,80.94942933130972,0,28.38685760638931,7.2459748287872285,2,86.95169794544674,1.8619401631949077
2.694218961804,57.50977262428716,1.0,medium,morning,87.45814014973523,1,32.46140769908874,28.75488631214358,2,115.01954524857432,1.5207526679178778
2.85165164999065,98.9987123762382,1.0,hard,afternoon,100.0,1,35.06739681907777,49.4993561881191,3,296.9961371287146,1.010114147949283
3.0014321074613113,81.46505864578154,3.0,easy,morning,100.0,1,33.3174286206269,20.366264661445385,1,81.46505864578154,1.2275201376188813
0.5,64.52250775593178,3.0,easy,evening,47.678752447106994,0,95.35750489421399,16.130626938982946,1,64.52250775593178,0.7389476030203386
4.2468008214219655,69.56456737484774,1.0,medium,morning,100.0,1,23.54713682251686,34.78228368742387,2,139.12913474969548,1.4375134321061949
2.054639512829909,59.22361831518129,2.0,easy,afternoon,81.0242148975749,0,39.434759426960554,19.74120610506043,1,59.22361831518129,1.3681064616209928
2.5086151550518445,78.25235533457274,3.0,medium,morning,94.5229084036999,1,37.67931809442746,19.563088833643185,2,156.50471066914548,1.2079241321179588
2.513358686023136,77.00441377231375,6.0,easy,afternoon,82.95189975522527,1,33.00440172607408,11.000630538901964,1,77.00441377231375,1.0772356504199487
3.3093046890236995,91.82559099176214,2.0,hard,evening,97.0448257902502,1,29.324838571718235,30.60853033058738,3,275.4767729752864,1.0568385647412417
2.870046699257906,56.27631677287894,1.0,hard,morning,72.8684454854169,0,25.38928913744091,28.13815838643947,3,168.82895031863683,1.2948332382785603
3.278549444254095,50.51710366100928,4.0,hard,afternoon,76.72342172552813,0,23.401636312056148,10.103420732201856,3,151.55131098302783,1.5187612940039894
3.815560724347132,67.80346300244233,4.0,hard,afternoon,100.0,1,26.20846769962249,13.560692600488466,3,203.41038900732698,1.4748509231216986
2.9145789348132647,68.55939053021373,4.0,medium,night,86.88060712782432,1,29.80897380752898,13.711878106042747,2,137.11878106042747,1.2672313224478933
1.8257810429916417,37.30824184053818,3.0,hard,morning,68.88971359049798,0,37.731640305355796,9.327060460134545,3,111.92472552161453,1.8465012070240248
4.049430760461118,92.56694851377851,4.0,medium,night,100.0,1,24.69482895630811,18.513389702755703,2,185.13389702755703,1.0802991953992638
2.4628280144716768,37.055982682647944,0.0,easy,afternoon,72.46793783223481,0,29.424684714649292,37.055982682647944,1,37.055982682647944,1.9556339512801284
2.330763432475367,76.44559495109361,3.0,easy,morning,94.6022096563855,1,40.58850775598192,19.111398737773403,1,76.44559495109361,1.2375102805715315
3.116661373292307,88.5131042954277,2.0,easy,evening,100.0,1,32.0856159918215,29.504368098475897,1,88.5131042954277,1.1297762155785749
3.4847000675956057,67.4242704121341,1.0,easy,morning,100.0,1,28.69687435366528,33.71213520606705,1,67.4242704121341,1.4831454517601033
3.1132796411314874,74.51601956282984,0.0,hard,morning,100.0,1,32.120468292933715,74.51601956282984,3,223.5480586884895,1.3419933134737931
3.347125556179801,44.26383961119316,5.0,medium,night,71.84740763435428,0,21.465405593077424,7.377306601865527,2,88.52767922238633,1.623162569389619
3.95382208869418,74.01590059530017,3.0,medium,night,100.0,1,25.291982733858106,18.50397514882504,2,148.03180119060033,1.351061044933766
3.3589915412123728,55.764911342360755,0.0,medium,afternoon,96.68907591902574,1,28.785150165673656,55.764911342360755,2,111.52982268472151,1.7338694457060442
