study_hours,session_duration,breaks_taken,subject_difficulty,time_of_day,productivity_score,session_completed
3.442320708308328,88.5353043620871,4.0,medium,night,99.19461292789074,1
3.387006193351098,46.16207911586026,5.0,medium,morning,77.80232136737972,0
2.410412731389591,83.98750600918002,2.0,hard,night,99.56565747111112,1
3.573797527453146,42.54635406623111,3.0,easy,morning,83.87633841227422,0
4.428213798940367,82.46222709937314,2.0,easy,afternoon,100.0,1
2.8035356739686152,67.32166414262026,3.0,medium,morning,85.47886874376485,1
2.85165164999065,32.24966281540211,5.0,medium,afternoon,51.660231189873265,0
4.508855949510071,40.99532366341143,0.0,hard,morning,100.0,1
3.633291693236839,66.92188416145672,3.0,hard,evening,100.0,1
2.4044769735509877,73.65720119190661,4.0,medium,afternoon,82.28740890957603,1
3.294314008989182,58.63321961356228,5.0,easy,morning,86.65052010646112,0
2.1807104810053084,42.15024534374336,2.0,easy,afternoon,64.26867515677745,0
2.0279393458065873,69.8819568993852,4.0,medium,morning,71.96466919427561,0
2.312910226126594,79.38199393331003,6.0,easy,morning,78.39612533945076,1
4.0129340390302985,69.42400698771934,0.0,medium,morning,100.0,1
1.4035046177398574,45.836251634691834,3.0,hard,evening,56.664324381203,0
2.85165164999065,58.650880463350994,0.0,medium,night,100.0,1
2.4071392186437435,48.12959500024334,2.0,medium,evening,70.97820418482766,0
0.7701426118330308,49.09817851885869,2.0,hard,evening,58.38143169999355,0
2.85165164999065,43.47584897272337,5.0,medium,afternoon,80.94942933130972,0
2.694218961804,57.50977262428716,1.0,medium,morning,87.45814014973523,1
2.85165164999065,98.9987123762382,1.0,hard,afternoon,100.0,1
3.0014321074613113,81.46505864578154,3.0,easy,morning,100.0,1
0.5,64.52250775593178,3.0,easy,evening,47.678752447106994,0
4.2468008214219655,69.56456737484774,1.0,medium,morning,100.0,1
2.054639512829909,59.22361831518129,2.0,easy,afternoon,81.0242148975749,0
2.5086151550518445,78.25235533457274,3.0,medium,morning,94.5229084036999,1
2.513358686023136,77.00441377231375,6.0,easy,afternoon,82.95189975522527,1
3.3093046890236995,91.82559099176214,2.0,hard,evening,97.0448257902502,1
